Loan Number,Tell Us About You,Has SSN,US Citizen,Enrollment Status,STEM,Credit Score 1,Credit Score 2,GPA,Approved Loan Amount,Interest Rate,Test Loan
35,,Yes,FALSE,2nd Year Graduate,No,630,0,3.74,15500,11.99,0
40,,Yes,TRUE,4th Year Undergraduate,No,536,,3.2,10000,9.99,0
43,,Yes,FALSE,2nd Year Graduate,No,644,,3.86,10446,11.99,0
63,,Yes,FALSE,4th Year Undergraduate,No,688,,3.2,15000,13.99,0
65,,No,FALSE,1st Year Graduate,No,,,0,7000,11.99,0
66,,No,TRUE,3rd Year Undergraduate,No,641,,3,15000,9.99,0
67,,No,FALSE,2nd Year Graduate,No,656,,3.33,15000,11.99,0
69,,Yes,FALSE,2nd Year Graduate,No,,757,3.3,8000,11.99,0
70,,Yes,FALSE,1st Year Graduate,No,644,,3.88,20000,11.99,0
71,,Yes,FALSE,3rd Year Graduate,No,670,,3.52,25000,11.99,0
74,,Yes,FALSE,2nd Year Graduate,No,682,,3.23,23000,11.99,0
83,,Yes,FALSE,2nd Year Graduate,No,614,,3.33,6000,11.99,0
86,,Yes,FALSE,2nd Year Graduate,No,,,3.23,25000,11.99,0
87,,No,FALSE,3rd Year Undergraduate,No,,,3.3,22500,13.99,0
88,,No,FALSE,1st Year Graduate,No,,757,0,25000,11.99,0
89,,No,FALSE,Beyond 3rd Year Graduate,No,,,0,25000,11.99,0
90,,Yes,FALSE,1st Year Graduate,No,742,,0,3300,11.99,0
92,,Yes,FALSE,2nd Year Graduate,No,717,,3.95,18000,11.99,0
93,,Yes,FALSE,4th Year Undergraduate,No,632,,3.86,12000,13.99,0
94,,Yes,FALSE,1st Year Graduate,No,,,3.9,25000,11.99,0
99,,Yes,FALSE,2nd Year Graduate,No,,,3.34,17500,11.99,0
100,,No,FALSE,1st Year Graduate,No,729,0,0,25000,11.99,0
103,,Yes,FALSE,2nd Year Graduate,No,685,786,3.95,14500,11.99,0
108,,Yes,FALSE,Beyond 3rd Year Graduate,,721,,4,13000,11.99,0
109,,Yes,FALSE,2nd Year Graduate,No,670,,3.63,16000,11.99,0
111,,Yes,FALSE,1st Year Graduate,No,,,3,12000,11.99,0
112,,Yes,FALSE,1st Year Graduate,No,655,,0,5197,11.99,0
113,,Yes,FALSE,4th Year Undergraduate,No,727,,3.25,7500,13.99,0
116,,Yes,FALSE,1st Year Graduate,No,,,0,20000,11.99,0
117,,Yes,FALSE,1st Year Graduate,No,,743,0,19500,11.99,0
118,,Yes,FALSE,Beyond 3rd Year Graduate,No,617,,0,10527,11.99,0
119,,Yes,FALSE,2nd Year Graduate,No,678,,2.68,15000,11.99,0
120,,Yes,FALSE,1st Year Graduate,No,,,3.8,25000,11.99,0
121,,No,FALSE,1st Year Graduate,No,617,0,3.56,4000,11.99,0
122,,Yes,TRUE,4th Year Undergraduate,No,677,,3.2,10205,9.99,0
123,,Yes,FALSE,2nd Year Graduate,No,631,,3.2,19000,11.99,0
125,,Yes,FALSE,1st Year Graduate,No,,,0,10000,11.99,0
134,,Yes,FALSE,1st Year Graduate,No,753,,3.47,25000,11.99,0
137,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0
138,,Yes,FALSE,5th Year Undergraduate,No,763,,3.31,12000,13.99,0
140,,Yes,FALSE,2nd Year Graduate,No,649,,3.75,10000,11.99,0
141,,Yes,FALSE,Beyond 3rd Year Graduate,No,,,0,5000,11.99,0
144,,No,FALSE,1st Year Graduate,No,,,2.97,20500,11.99,0
145,,Yes,FALSE,3rd Year Graduate,No,712,,3.49,15000,11.99,0
146,,Yes,FALSE,1st Year Graduate,No,719,632,3.35,25000,11.99,0
147,,Yes,FALSE,1st Year Graduate,No,,,3.12,15000,11.99,0
148,,No,FALSE,1st Year Graduate,No,636,,0,20000,11.99,0
149,,No,FALSE,1st Year Graduate,No,,500,2.5,25000,11.99,0
